Has_QSpecs,Weight,InspectionDate
FALSE,4,1/12/2012
FALSE,0.1,8/27/2012
FALSE,0.5,6/16/2012
FALSE,14,10/27/2012
FALSE,0.01,12/6/2012
FALSE,17,5/20/2012
FALSE,0.03,7/10/2012
FALSE,15.83,12/9/2012
FALSE,11.5,3/4/2012
FALSE,22,5/1/2012
FALSE,0.06,6/11/2012
FALSE,1,10/16/2012
FALSE,390,2/20/2012
FALSE,0.6,5/16/2012
FALSE,20.1,10/24/2012
FALSE,0.2,9/14/2012
FALSE,0.4,8/5/2012
TRUE,0.01,9/14/2012
FALSE,0.3,11/13/2012
FALSE,3,1/21/2012
FALSE,0.2,8/3/2012
FALSE,3.47,4/11/2012
FALSE,1,9/1/2012
FALSE,23,7/19/2012
FALSE,0.94,6/2/2012
FALSE,0.1,1/8/2012
FALSE,2.5,4/9/2012
TRUE,0.2,9/17/2012
FALSE,0.1,11/8/2012
TRUE,0.4,3/14/2012
FALSE,0.4,10/3/2012
FALSE,1.37,4/20/2012
FALSE,17,7/21/2012
FALSE,0.05,7/23/2012
FALSE,0.5,6/27/2012
FALSE,0.01,1/17/2012
FALSE,0,9/7/2012
FALSE,0.1,5/1/2012
FALSE,0.1,8/9/2012
FALSE,1,1/19/2012
FALSE,0.2,4/11/2012
FALSE,750,7/26/2012
FALSE,3,3/24/2012
TRUE,0.1,9/27/2012
FALSE,0.1,4/10/2012
TRUE,1,11/15/2012
FALSE,0.22,11/5/2012
FALSE,0.1,7/2/2012
FALSE,0.5,11/18/2012
FALSE,2.3,10/11/2012
FALSE,1,11/4/2012
FALSE,0.3,2/12/2012
FALSE,0.04,8/18/2012
FALSE,4,8/11/2012
FALSE,0.1,4/19/2012
FALSE,0.54,2/2/2012
FALSE,0.01,7/10/2012
FALSE,0.04,6/7/2012
FALSE,146,8/26/2012
FALSE,0.7,2/20/2012
FALSE,0,2/5/2012
FALSE,0.2,3/19/2012
FALSE,0.5,7/15/2012
FALSE,0.16,4/5/2012
FALSE,8,5/5/2012
FALSE,0.01,10/23/2012
FALSE,14.6,4/20/2012
FALSE,0.12,3/1/2012
FALSE,247,1/12/2012
FALSE,2.45,4/17/2012
FALSE,0,5/8/2012
FALSE,24,10/25/2012
FALSE,5.4,10/4/2012
TRUE,0.07,7/19/2012
FALSE,0.09,10/3/2012
FALSE,0.01,12/7/2012
FALSE,0.1,11/13/2012
FALSE,0.22,4/12/2012
FALSE,70,9/1/2012
FALSE,0.1,1/22/2012
FALSE,0.22,2/23/2012
FALSE,0.01,5/7/2012
FALSE,0.35,8/24/2012
FALSE,0.1,4/8/2012
FALSE,0.1,3/18/2012
FALSE,5.7,5/16/2012
FALSE,0.1,5/4/2012
FALSE,1.5,3/11/2012
FALSE,340,7/21/2012
FALSE,0.1,12/15/2012
FALSE,0.11,9/10/2012
FALSE,0.004,10/6/2012
FALSE,0.1,2/13/2012
FALSE,0.1,5/11/2012
FALSE,0.1,8/6/2012
FALSE,0.22,8/5/2012
FALSE,0.1,1/25/2012
FALSE,5,4/5/2012
FALSE,0.4,3/16/2012
FALSE,0.42,3/3/2012
FALSE,0.1,5/6/2012
FALSE,2.2,8/1/2012
TRUE,0.22,3/2/2012
FALSE,2100.001,10/15/2012
TRUE,0.5,4/12/2012
FALSE,9.8,7/8/2012
FALSE,0.22,12/8/2012
FALSE,0.1,1/24/2012
FALSE,0.2,11/22/2012
FALSE,0.1,10/9/2012
FALSE,0.01,8/3/2012
FALSE,0.7,4/23/2012
FALSE,0.16,12/10/2012
FALSE,46,8/4/2012
FALSE,40,4/12/2012
FALSE,0.3,3/9/2012
FALSE,0.04,10/1/2012
FALSE,16.5,5/21/2012
FALSE,40,11/1/2012
FALSE,0.1,7/17/2012
FALSE,0.96,11/24/2012
FALSE,0.93,10/8/2012
FALSE,2,4/28/2012
FALSE,0.17,12/1/2012
TRUE,0,7/20/2012
FALSE,1.6,1/15/2012
FALSE,0.05,4/6/2012
FALSE,1.5,6/28/2012
FALSE,137,11/18/2012
FALSE,0,10/19/2012
FALSE,0.08,10/20/2012
FALSE,1.03,3/6/2012
FALSE,108,8/18/2012
FALSE,10.66,12/25/2012
TRUE,0.3,11/25/2012
FALSE,8,8/27/2012
FALSE,0.26,10/23/2012
FALSE,0.01,7/24/2012
FALSE,0.1,6/20/2012
FALSE,0.01,7/22/2012
FALSE,1.62,7/18/2012
FALSE,0.2,4/6/2012
FALSE,0.1,8/20/2012
